,id,job_name,start_time,end_time,duration_seconds,exit_code
0,1,Database_Backup,2026-06-09 18:13:26,2026-06-09 18:13:38,12.5,0
1,2,Database_Backup,2026-06-10 06:13:26,2026-06-10 06:13:38,12.75,0
2,3,Database_Backup,2026-06-10 18:13:26,2026-06-10 18:13:39,13,0
3,4,Database_Backup,2026-06-11 06:13:26,2026-06-11 06:13:39,13.25,0
4,5,Database_Backup,2026-06-11 18:13:26,2026-06-11 18:13:39,13.5,0
5,6,Database_Backup,2026-06-12 06:13:26,2026-06-12 06:13:39,13.75,0
6,7,Database_Backup,2026-06-12 18:13:26,2026-06-12 18:14:14,48.5,0
7,8,Database_Backup,2026-06-13 06:13:26,2026-06-13 06:13:40,14.25,1
8,9,Cache_Refresh,2026-06-09 20:13:26,2026-06-09 20:13:26,0.45,0
9,10,Cache_Refresh,2026-06-10 08:13:26,2026-06-10 08:13:26,0.47000000000000003,0
10,11,Cache_Refresh,2026-06-10 20:13:26,2026-06-10 20:13:26,0.49,0
11,12,Cache_Refresh,2026-06-11 08:13:26,2026-06-11 08:13:26,0.51,0
12,13,Cache_Refresh,2026-06-11 20:13:26,2026-06-11 20:13:26,0.53,0
13,14,Cache_Refresh,2026-06-12 08:13:26,2026-06-12 08:13:26,0.55,0
14,15,Cache_Refresh,2026-06-12 20:13:26,2026-06-12 20:13:26,0.5700000000000001,0
15,16,Cache_Refresh,2026-06-13 08:13:26,2026-06-13 08:13:26,0.5900000000000001,0
16,17,Data_Sync,2026-06-09 22:13:26,2026-06-09 22:13:30,4.8,0
17,18,Data_Sync,2026-06-10 16:13:26,2026-06-10 16:13:30,4.8,0
18,19,Data_Sync,2026-06-11 10:13:26,2026-06-11 10:13:30,4.8,0
19,20,Data_Sync,2026-06-12 04:13:26,2026-06-12 04:13:30,4.8,0
20,21,Data_Sync,2026-06-12 22:13:26,2026-06-12 22:13:45,19.5,0
21,22,Data_Sync,2026-06-13 16:13:26,2026-06-13 16:13:30,4.8,0
22,23,Log_Cleanup,2026-06-09 19:13:26,2026-06-09 19:13:26,0.18,0
23,24,Log_Cleanup,2026-06-10 19:13:26,2026-06-10 19:13:26,0.18,0
24,25,Log_Cleanup,2026-06-11 19:13:26,2026-06-11 19:13:26,0.18,4
25,26,Log_Cleanup,2026-06-12 19:13:26,2026-06-12 19:13:26,0.18,0
26,27,AdHoc_DataSync,2026-06-14 18:14:12,2026-06-14 18:14:12,0.126616,0
27,28,AdHoc_DataSync,2026-06-14 18:42:40,2026-06-14 18:42:40,0.110963,1
